Lemma;Cx;Cx-Prs;Verb_type1;Contingency;Contingency-Coarse;Intention;Intention-Coarse;Link_to_t0;Link_to_t0-Coarse;Temporal_proximityA;Temporal_proximityA-ORD;Speaker_certaintyD;Speaker_certaintyD-ORD;Person_animacy
die;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;1st-animate
get;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
end;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;1st-animate
do;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;2_;2_;1st-animate
learn ING;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;1st-animate
be DESCRIPT;going_to;GT-1st;change of state;contingent (otherwise);contingent ;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
go nuts;going_to;GT-1st;change of state;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
write;going_to;GT-1st;communication;contingent (if-clause);contingent ;speaker-intention;intentional;detached;detached;4_neutral;4_neutral;1_;1_;1st-animate
write;going_to;GT-1st;communication;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
ring;going_to;GT-1st;communication;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
